event_id,timestamp,latitude,longitude,current,type,quality_flag,cluster_id,storm_id,state,district,nearest_city,frame_number,ctbt_filename
1000002,2026-06-18 00:11:52,27.06811,88.32549,26.4,IC,1,261,S000261,West Bengal,Darjeeling,Darjeeling,0,ctbt_0000.png
1000001,2026-06-18 00:29:18,27.05101,88.31357,17.1,IC,1,261,S000261,West Bengal,Darjeeling,Darjeeling,0,ctbt_0000.png
1000009,2026-06-18 00:30:44,27.09228,88.20219,28.0,CG,1,261,S000261,West Bengal,Darjeeling,Darjeeling,1,ctbt_0030.png
1000007,2026-06-18 00:33:43,13.95278,75.54727,15.5,IC,1,232,S000232,Karnataka,Shivamogga,Shivamogga,1,ctbt_0030.png
1000008,2026-06-18 00:37:05,13.87224,75.4967,93.4,CG,1,232,S000232,Karnataka,Shivamogga,Shivamogga,1,ctbt_0030.png
1000011,2026-06-18 00:37:19,27.14701,88.15877,34.2,CG,1,261,S000261,West Bengal,Darjeeling,Darjeeling,1,ctbt_0030.png
1000003,2026-06-18 00:37:30,8.52427,76.80057,33.7,CG,1,221,S000221,Kerala,Thiruvananthapuram,Thiruvananthapuram,1,ctbt_0030.png
1000006,2026-06-18 00:38:04,13.97345,75.60451,19.0,CG,1,232,S000232,Karnataka,Shivamogga,Shivamogga,1,ctbt_0030.png
1000014,2026-06-18 00:45:27,27.16516,88.20381,16.9,CG,1,261,S000261,West Bengal,Darjeeling,Darjeeling,1,ctbt_0030.png
1000010,2026-06-18 00:45:28,27.11574,88.16723,30.8,IC,1,261,S000261,West Bengal,Darjeeling,Darjeeling,1,ctbt_0030.png
1000012,2026-06-18 00:51:49,27.08881,88.16985,108.1,IC,1,261,S000261,West Bengal,Darjeeling,Darjeeling,1,ctbt_0030.png
1000005,2026-06-18 00:54:57,8.57402,76.75529,20.2,IC,1,221,S000221,Kerala,Thiruvananthapuram,Thiruvananthapuram,1,ctbt_0030.png
1000004,2026-06-18 00:57:38,8.5147,76.77067,24.0,IC,1,221,S000221,Kerala,Thiruvananthapuram,Thiruvananthapuram,1,ctbt_0030.png
1000013,2026-06-18 00:59:29,27.10959,88.17616,34.2,IC,1,261,S000261,West Bengal,Darjeeling,Darjeeling,1,ctbt_0030.png
1000036,2026-06-18 01:00:48,13.98103,75.48685,18.9,IC,1,232,S000232,Karnataka,Shivamogga,Shivamogga,2,ctbt_0100.png
1000025,2026-06-18 01:01:20,23.39327,91.31451,20.6,IC,1,220,S000220,Tripura,Gomati,Udaipur,2,ctbt_0100.png
1000017,2026-06-18 01:03:19,26.93804,82.83962,35.0,IC,1,203,S000203,Uttar Pradesh,Basti,Basti,2,ctbt_0100.png
1000035,2026-06-18 01:03:35,13.96172,75.54573,17.2,CG,1,232,S000232,Karnataka,Shivamogga,Shivamogga,2,ctbt_0100.png
1000042,2026-06-18 01:04:00,14.00432,75.47599,33.2,IC,0,232,S000232,Karnataka,Shivamogga,Shivamogga,2,ctbt_0100.png
1000045,2026-06-18 01:04:48,13.87399,75.60229,18.8,CG,1,232,S000232,Karnataka,Shivamogga,Shivamogga,2,ctbt_0100.png
1000024,2026-06-18 01:04:55,23.50342,91.35875,28.7,IC,1,220,S000220,Tripura,Gomati,Udaipur,2,ctbt_0100.png
1000032,2026-06-18 01:07:23,8.4952,76.64496,19.8,CG,1,221,S000221,Kerala,Thiruvananthapuram,Thiruvananthapuram,2,ctbt_0100.png
