event_id,timestamp,latitude,longitude,current,type,quality_flag,cluster_id,storm_id,state,district,nearest_city,frame_number,ctbt_filename
1002193,2026-06-18 15:30:05,26.79819,92.77379,35.0,IC,1,48,S000048,Assam,Tezpur,Tezpur,31,ctbt_1530.png
1002253,2026-06-18 15:30:09,23.66474,85.21772,35.2,CG,1,188,S000188,Jharkhand,Ranchi,Ranchi,31,ctbt_1530.png
1002224,2026-06-18 15:30:14,31.7143,74.97741,18.5,IC,1,119,S000119,Punjab,Amritsar,Amritsar,31,ctbt_1530.png
1002286,2026-06-18 15:30:14,21.46151,83.97719,20.4,IC,0,274,S000274,Odisha,Sambalpur,Sambalpur,31,ctbt_1530.png
1002198,2026-06-18 15:30:16,26.76435,92.74397,97.2,IC,1,48,S000048,Assam,Tezpur,Tezpur,31,ctbt_1530.png
1002188,2026-06-18 15:30:38,26.7468,92.78793,29.0,IC,1,48,S000048,Assam,Tezpur,Tezpur,31,ctbt_1530.png
1002227,2026-06-18 15:30:49,19.97762,75.28391,17.9,IC,1,124,S000124,Maharashtra,Aurangabad,Chhatrapati Sambhajinagar,31,ctbt_1530.png
1002162,2026-06-18 15:31:13,14.03226,75.58219,15.4,IC,1,7,S000007,Karnataka,Shivamogga,Shivamogga,31,ctbt_1530.png
1002238,2026-06-18 15:31:14,21.06136,77.65409,27.1,IC,1,154,S000154,Maharashtra,Amravati,Amravati,31,ctbt_1530.png
1002226,2026-06-18 15:31:20,19.98963,75.29136,27.4,CG,1,124,S000124,Maharashtra,Aurangabad,Chhatrapati Sambhajinagar,31,ctbt_1530.png
1002268,2026-06-18 15:31:58,9.81034,76.56526,26.0,IC,1,235,S000235,Kerala,Ernakulam,Kochi,31,ctbt_1530.png
1002218,2026-06-18 15:32:48,11.63064,76.06433,36.6,IC,1,106,S000106,Kerala,Wayanad,Kalpetta,31,ctbt_1530.png
1002293,2026-06-18 15:33:38,21.43874,84.0368,27.4,CG,1,274,S000274,Odisha,Sambalpur,Sambalpur,31,ctbt_1530.png
1002251,2026-06-18 15:34:11,22.64161,88.28173,21.6,CG,1,166,S000166,West Bengal,Howrah,Howrah,31,ctbt_1530.png
1002285,2026-06-18 15:34:19,21.43662,84.10143,33.2,IC,1,274,S000274,Odisha,Sambalpur,Sambalpur,31,ctbt_1530.png
1002200,2026-06-18 15:34:29,20.29109,85.83048,23.0,IC,1,72,S000072,Odisha,Khordha,Bhubaneswar,31,ctbt_1530.png
1002186,2026-06-18 15:34:36,25.754,94.19766,16.8,CG,1,45,S000045,Nagaland,Kohima,Kohima,31,ctbt_1530.png
1002225,2026-06-18 15:34:37,31.6998,74.95735,16.8,IC,1,119,S000119,Punjab,Amritsar,Amritsar,31,ctbt_1530.png
1002180,2026-06-18 15:34:53,25.64347,94.27494,27.6,CG,1,45,S000045,Nagaland,Kohima,Kohima,31,ctbt_1530.png
1002282,2026-06-18 15:34:56,21.78474,80.25337,31.1,CG,1,259,S000259,Madhya Pradesh,Balaghat,Balaghat,31,ctbt_1530.png
1002261,2026-06-18 15:34:57,30.90177,76.75488,25.8,IC,1,215,S000215,Chandigarh,Chandigarh,Chandigarh,31,ctbt_1530.png
1002187,2026-06-18 15:35:06,25.76221,94.18296,30.0,IC,1,45,S000045,Nagaland,Kohima,Kohima,31,ctbt_1530.png
1002275,2026-06-18 15:35:52,27.17575,88.53826,32.8,CG,1,248,S000248,Sikkim,East Sikkim,Gangtok,31,ctbt_1530.png
1002236,2026-06-18 15:36:20,23.30583,75.78565,85.7,CG,1,141,S000141,Madhya Pradesh,Ujjain,Ujjain,31,ctbt_1530.png
1002159,2026-06-18 15:36:31,13.97283,75.59902,39.6,CG,1,7,S000007,Karnataka,Shivamogga,Shivamogga,31,ctbt_1530.png
1002206,2026-06-18 15:36:36,23.30672,77.33556,93.2,IC,1,78,S000078,Madhya Pradesh,Bhopal,Bhopal,31,ctbt_1530.png
1002258,2026-06-18 15:37:03,25.98155,87.53322,19.2,IC,1,198,S000198,Bihar,Purnia,Purnia,31,ctbt_1530.png
1002252,2026-06-18 15:37:12,23.70833,85.16856,24.0,CG,1,188,S000188,Jharkhand,Ranchi,Ranchi,31,ctbt_1530.png
1002171,2026-06-18 15:37:15,23.76508,91.5091,28.4,IC,1,28,S000028,Tripura,West Tripura,Agartala,31,ctbt_1530.png
1002228,2026-06-18 15:37:21,19.98237,75.24773,29.8,IC,1,124,S000124,Maharashtra,Aurangabad,Chhatrapati Sambhajinagar,31,ctbt_1530.png
1002197,2026-06-18 15:37:28,26.80675,92.68354,21.1,IC,1,48,S000048,Assam,Tezpur,Tezpur,31,ctbt_1530.png
1002208,2026-06-18 15:37:50,23.32005,77.35769,19.5,IC,1,78,S000078,Madhya Pradesh,Bhopal,Bhopal,31,ctbt_1530.png
1002245,2026-06-18 15:37:53,22.72556,88.07176,18.3,IC,1,166,S000166,West Bengal,Howrah,Howrah,31,ctbt_1530.png
1002259,2026-06-18 15:38:05,25.94214,87.54842,18.8,IC,1,198,S000198,Bihar,Purnia,Purnia,31,ctbt_1530.png
1002254,2026-06-18 15:38:21,23.67646,85.13796,102.8,IC,1,188,S000188,Jharkhand,Ranchi,Ranchi,31,ctbt_1530.png
1002172,2026-06-18 15:38:32,23.70464,91.57432,89.9,CG,1,28,S000028,Tripura,West Tripura,Agartala,31,ctbt_1530.png
1002211,2026-06-18 15:38:47,24.00322,85.1143,12.9,CG,1,85,S000085,Jharkhand,Hazaribagh,Hazaribagh,31,ctbt_1530.png
1002179,2026-06-18 15:38:49,22.4774,92.16839,27.2,IC,1,42,S000042,Mizoram,Lunglei,Lunglei,31,ctbt_1530.png
1002283,2026-06-18 15:38:56,21.78906,80.2495,18.9,CG,1,259,S000259,Madhya Pradesh,Balaghat,Balaghat,31,ctbt_1530.png
1002294,2026-06-18 15:39:12,21.37995,84.08323,34.4,CG,1,274,S000274,Odisha,Sambalpur,Sambalpur,31,ctbt_1530.png
1002217,2026-06-18 15:39:52,11.62843,76.10916,32.7,IC,1,106,S000106,Kerala,Wayanad,Kalpetta,31,ctbt_1530.png
1002288,2026-06-18 15:40:23,21.39034,84.04488,19.4,CG,0,274,S000274,Odisha,Sambalpur,Sambalpur,31,ctbt_1530.png
1002214,2026-06-18 15:40:36,23.95387,85.14373,38.9,IC,1,85,S000085,Jharkhand,Hazaribagh,Hazaribagh,31,ctbt_1530.png
1002158,2026-06-18 15:40:47,14.01203,75.61246,34.3,IC,1,7,S000007,Karnataka,Shivamogga,Shivamogga,31,ctbt_1530.png
1002174,2026-06-18 15:41:14,23.75569,91.5238,27.9,CG,1,28,S000028,Tripura,West Tripura,Agartala,31,ctbt_1530.png
1002247,2026-06-18 15:41:17,22.73354,88.32939,87.5,IC,1,166,S000166,West Bengal,Howrah,Howrah,31,ctbt_1530.png
1002215,2026-06-18 15:41:24,24.07119,85.03614,21.4,CG,1,85,S000085,Jharkhand,Hazaribagh,Hazaribagh,31,ctbt_1530.png
1002237,2026-06-18 15:41:54,21.03553,77.59527,36.8,IC,1,154,S000154,Maharashtra,Amravati,Amravati,31,ctbt_1530.png
1002185,2026-06-18 15:42:16,25.71805,94.2066,98.6,IC,1,45,S000045,Nagaland,Kohima,Kohima,31,ctbt_1530.png
1002263,2026-06-18 15:42:37,30.91149,76.79148,32.5,IC,1,215,S000215,Chandigarh,Chandigarh,Chandigarh,31,ctbt_1530.png
1002296,2026-06-18 15:42:42,21.36199,84.01962,28.8,IC,1,274,S000274,Odisha,Sambalpur,Sambalpur,31,ctbt_1530.png
1002166,2026-06-18 15:42:49,20.06453,79.96282,86.2,IC,1,15,S000015,Maharashtra,Gadchiroli,Gadchiroli,31,ctbt_1530.png
1002276,2026-06-18 15:42:59,27.14794,88.59761,23.3,CG,1,248,S000248,Sikkim,East Sikkim,Gangtok,31,ctbt_1530.png
1002223,2026-06-18 15:43:39,31.69919,74.96271,39.4,IC,1,119,S000119,Punjab,Amritsar,Amritsar,31,ctbt_1530.png
1002242,2026-06-18 15:43:49,20.98361,77.62235,37.4,IC,1,154,S000154,Maharashtra,Amravati,Amravati,31,ctbt_1530.png
1002219,2026-06-18 15:43:50,11.62879,76.09416,28.5,CG,1,106,S000106,Kerala,Wayanad,Kalpetta,31,ctbt_1530.png
1002260,2026-06-18 15:43:50,18.25904,82.92546,16.5,CG,1,213,S000213,Andhra Pradesh,Visakhapatnam,Visakhapatnam,31,ctbt_1530.png
1002182,2026-06-18 15:43:59,25.86744,94.20472,15.7,CG,1,45,S000045,Nagaland,Kohima,Kohima,31,ctbt_1530.png
1002278,2026-06-18 15:44:04,27.17803,88.53001,21.0,CG,1,248,S000248,Sikkim,East Sikkim,Gangtok,31,ctbt_1530.png
