storm_id,timestamp,frame_number,latitude,longitude,radius_km,stage,intensity,speed_kmh,direction_deg
S000221,2026-06-18 00:15:00,0,8.53254,76.86723,3.75,inactive,0.0,24.18,261.4
S000261,2026-06-18 00:15:00,0,27.07295,88.33072,7.57,developing,0.093,33.88,289.1
S000203,2026-06-18 00:45:00,1,26.84493,82.79986,8.66,inactive,0.0,24.93,27.9
S000220,2026-06-18 00:45:00,1,23.51919,91.39233,6.13,developing,0.121,18.82,213.2
S000221,2026-06-18 00:45:00,1,8.51873,76.77478,6.5,developing,0.489,24.18,261.4
S000232,2026-06-18 00:45:00,1,13.94281,75.5579,12.14,developing,0.253,9.7,323.5
S000261,2026-06-18 00:45:00,1,27.12294,88.16881,12.7,developing,0.607,33.88,289.1
S000054,2026-06-18 01:15:00,2,25.51527,81.81098,3.65,developing,0.14,28.38,7.6
S000076,2026-06-18 01:15:00,2,17.65563,83.29793,1.83,inactive,0.0,16.76,229.3
S000203,2026-06-18 01:15:00,2,26.92456,82.84704,15.93,developing,0.56,24.93,27.9
S000220,2026-06-18 01:15:00,2,23.44824,91.34173,10.69,developing,0.708,18.82,213.2
S000221,2026-06-18 01:15:00,2,8.50246,76.66587,9.09,dissipating,0.95,24.18,261.4
S000232,2026-06-18 01:15:00,2,13.97793,75.53112,20.53,developing,0.888,9.7,323.5
S000261,2026-06-18 01:15:00,2,27.17294,88.0069,15.48,dissipating,0.886,33.88,289.1
S000054,2026-06-18 01:45:00,3,25.64199,81.82963,5.42,developing,0.529,28.38,7.6
S000076,2026-06-18 01:45:00,3,17.62571,83.26147,3.16,developing,0.483,16.76,229.3
S000104,2026-06-18 01:45:00,3,26.50514,80.37613,10.12,developing,0.236,10.51,253.4
S000196,2026-06-18 01:45:00,3,12.25863,76.65475,7.76,inactive,0.0,24.87,322.6
S000203,2026-06-18 01:45:00,3,27.02382,82.90585,18.59,dissipating,0.764,24.93,27.9
S000218,2026-06-18 01:45:00,3,22.70038,86.21859,3.0,developing,0.143,19.22,156.0
S000220,2026-06-18 01:45:00,3,23.37728,91.29114,9.95,dissipating,0.612,18.82,213.2
S000221,2026-06-18 01:45:00,3,8.48619,76.55696,6.61,dissipating,0.509,24.18,261.4
S000232,2026-06-18 01:45:00,3,14.01305,75.50435,14.37,dissipating,0.422,9.7,323.5
S000261,2026-06-18 01:45:00,3,27.22293,87.84499,10.63,dissipating,0.399,33.88,289.1
S000054,2026-06-18 02:15:00,4,25.76872,81.84828,7.18,developing,0.918,28.38,7.6
S000075,2026-06-18 02:15:00,4,19.37488,84.80011,5.6,developing,0.05,33.57,74.3
S000076,2026-06-18 02:15:00,4,17.57645,83.20142,4.02,dissipating,0.799,16.76,229.3
S000104,2026-06-18 02:15:00,4,26.49165,80.3254,15.56,developing,0.722,10.51,253.4
S000165,2026-06-18 02:15:00,4,27.13932,78.14051,2.96,developing,0.152,22.76,110.9
S000196,2026-06-18 02:15:00,4,12.33813,76.59264,12.25,developing,0.386,24.87,322.6
S000203,2026-06-18 02:15:00,4,27.12309,82.96465,10.3,dissipating,0.126,24.93,27.9
S000218,2026-06-18 02:15:00,4,22.62128,86.2568,4.23,developing,0.475,19.22,156.0
S000220,2026-06-18 02:15:00,4,23.30633,91.24054,5.18,inactive,0.0,18.82,213.2
S000221,2026-06-18 02:15:00,4,8.46993,76.44805,4.13,dissipating,0.067,24.18,261.4
S000232,2026-06-18 02:15:00,4,14.04818,75.47758,8.8,inactive,0.0,9.7,323.5
S000261,2026-06-18 02:15:00,4,27.27293,87.68309,6.65,inactive,0.0,33.88,289.1
S000054,2026-06-18 02:45:00,5,25.89545,81.86694,6.51,dissipating,0.77,28.38,7.6
S000075,2026-06-18 02:45:00,5,19.41582,84.95442,9.43,developing,0.539,33.57,74.3
S000076,2026-06-18 02:45:00,5,17.52719,83.14137,2.45,dissipating,0.225,16.76,229.3
S000104,2026-06-18 02:45:00,5,26.47815,80.27467,16.2,dissipating,0.779,10.51,253.4
S000165,2026-06-18 02:45:00,5,27.10271,78.24815,4.28,developing,0.518,22.76,110.9
S000175,2026-06-18 02:45:00,5,26.12331,91.80152,7.12,inactive,0.0,8.67,313.9
S000196,2026-06-18 02:45:00,5,12.42719,76.52308,17.28,developing,0.817,24.87,322.6
S000218,2026-06-18 02:45:00,5,22.54218,86.295,5.47,developing,0.808,19.22,156.0
S000011,2026-06-18 03:15:00,6,26.38316,92.68442,2.59,inactive,0.0,27.74,229.8
S000054,2026-06-18 03:15:00,6,26.02218,81.88559,5.19,dissipating,0.479,28.38,7.6
S000075,2026-06-18 03:15:00,6,19.45676,85.10872,12.88,dissipating,0.981,33.57,74.3
S000104,2026-06-18 03:15:00,6,26.46466,80.22393,10.43,dissipating,0.264,10.51,253.4
S000165,2026-06-18 03:15:00,6,27.06609,78.3558,5.59,developing,0.883,22.76,110.9
S000175,2026-06-18 03:15:00,6,26.14771,91.77333,11.66,developing,0.425,8.67,313.9
S000179,2026-06-18 03:15:00,6,25.44487,92.20665,2.64,inactive,0.0,23.1,104.2
S000187,2026-06-18 03:15:00,6,11.92838,79.84473,2.97,developing,0.067,10.64,179.5
S000196,2026-06-18 03:15:00,6,12.51624,76.45351,16.9,dissipating,0.785,24.87,322.6
S000218,2026-06-18 03:15:00,6,22.46308,86.33321,5.65,dissipating,0.859,19.22,156.0
S000011,2026-06-18 03:45:00,7,26.32763,92.61112,3.91,developing,0.341,27.74,229.8
S000054,2026-06-18 03:45:00,7,26.14891,81.90424,3.87,dissipating,0.187,28.38,7.6
S000075,2026-06-18 03:45:00,7,19.4977,85.26303,10.24,dissipating,0.642,33.57,74.3
S000104,2026-06-18 03:45:00,7,26.45116,80.1732,7.47,inactive,0.0,10.51,253.4
S000165,2026-06-18 03:45:00,7,27.02947,78.46344,5.44,dissipating,0.841,22.76,110.9
S000175,2026-06-18 03:45:00,7,26.17482,91.742,16.71,developing,0.898,8.67,313.9
S000179,2026-06-18 03:45:00,7,25.42477,92.29446,4.34,developing,0.431,23.1,104.2
S000187,2026-06-18 03:45:00,7,11.88047,79.84516,5.12,developing,0.6,10.64,179.5
S000196,2026-06-18 03:45:00,7,12.60529,76.38394,12.57,dissipating,0.412,24.87,322.6
S000218,2026-06-18 03:45:00,7,22.38398,86.37141,4.42,dissipating,0.525,19.22,156.0
S000011,2026-06-18 04:15:00,8,26.24695,92.50462,5.84,developing,0.835,27.74,229.8
S000054,2026-06-18 04:15:00,8,26.27564,81.9229,3.02,inactive,0.0,28.38,7.6
S000062,2026-06-18 04:15:00,8,26.15728,85.89919,8.46,developing,0.048,31.71,33.2
S000075,2026-06-18 04:15:00,8,19.53864,85.41733,7.59,dissipating,0.304,33.57,74.3
S000165,2026-06-18 04:15:00,8,26.99285,78.57108,4.6,dissipating,0.606,22.76,110.9
S000175,2026-06-18 04:15:00,8,26.20193,91.71068,13.36,dissipating,0.584,8.67,313.9
S000179,2026-06-18 04:15:00,8,25.39921,92.40617,6.51,developing,0.978,23.1,104.2
S000187,2026-06-18 04:15:00,8,11.83256,79.8456,6.26,dissipating,0.883,10.64,179.5
S000196,2026-06-18 04:15:00,8,12.69434,76.31437,8.23,dissipating,0.04,24.87,322.6
S000218,2026-06-18 04:15:00,8,22.30488,86.40962,3.18,dissipating,0.191,19.22,156.0
S000236,2026-06-18 04:15:00,8,27.17709,92.31476,3.92,developing,0.212,13.32,198.5
S000004,2026-06-18 04:45:00,9,11.40528,76.71299,7.13,developing,0.303,8.33,124.6
S000011,2026-06-18 04:45:00,9,26.16628,92.39812,5.61,dissipating,0.776,27.74,229.8
S000024,2026-06-18 04:45:00,9,22.89599,92.78868,6.44,developing,0.068,33.38,62.7
S000062,2026-06-18 04:45:00,9,26.27679,85.98632,13.38,developing,0.464,31.71,33.2
S000075,2026-06-18 04:45:00,9,19.57958,85.57164,5.21,inactive,0.0,33.57,74.3
S000131,2026-06-18 04:45:00,9,29.33294,79.47346,6.84,inactive,0.0,24.11,161.5
S000136,2026-06-18 04:45:00,9,12.0313,79.81919,5.04,inactive,0.0,17.44,193.8
S000165,2026-06-18 04:45:00,9,26.95623,78.67873,3.75,dissipating,0.371,22.76,110.9
S000167,2026-06-18 04:45:00,9,24.80185,93.87736,8.39,inactive,0.0,17.83,230.6
S000175,2026-06-18 04:45:00,9,26.22903,91.67935,7.69,dissipating,0.053,8.67,313.9
S000179,2026-06-18 04:45:00,9,25.37364,92.51787,4.85,dissipating,0.558,23.1,104.2
S000187,2026-06-18 04:45:00,9,11.78465,79.84603,4.36,dissipating,0.412,10.64,179.5
S000212,2026-06-18 04:45:00,9,11.23198,75.70159,1.75,inactive,0.0,32.99,31.1
S000218,2026-06-18 04:45:00,9,22.22578,86.44782,2.47,inactive,0.0,19.22,156.0
S000226,2026-06-18 04:45:00,9,26.66399,88.41128,4.68,developing,0.053,8.65,77.6
S000236,2026-06-18 04:45:00,9,27.12019,92.29333,6.0,developing,0.676,13.32,198.5
S000004,2026-06-18 05:15:00,10,11.38396,76.74447,10.13,dissipating,0.711,8.33,124.6
S000011,2026-06-18 05:15:00,10,26.0856,92.29163,4.3,dissipating,0.44,27.74,229.8
S000024,2026-06-18 05:15:00,10,22.96489,92.93373,9.05,developing,0.364,33.38,62.7
S000062,2026-06-18 05:15:00,10,26.3963,86.07346,18.31,developing,0.88,31.71,33.2
S000070,2026-06-18 05:15:00,10,22.54031,88.35891,4.21,inactive,0.0,13.87,204.7
S000097,2026-06-18 05:15:00,10,19.3238,84.74481,7.85,developing,0.048,25.26,48.9
